gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,gene_label,regulation,significant_fdr,significant_fdr_lfc,neg_log10_pvalue,neg_log10_padj
ENSG00000166741,1851.286446791362,4.751144023189301,0.6214611498590882,1.3306258524405075e-15,1.7478721018843525e-12,NNMT,NNMT,Up,TRUE,TRUE,14.875944042994895,11.757490349435056
ENSG00000153292,318.4370613785242,-3.957766559456309,0.5160667045360661,1.2776777018449343e-15,1.7478721018843525e-12,ADGRF1,ADGRF1,Down,TRUE,TRUE,14.893578684489835,11.757490349435056
ENSG00000130208,126.275212053277,11.984789279565929,3.1796524734943152,3.0351109787736924e-15,3.721046059976547e-12,APOC1,APOC1,Up,TRUE,TRUE,14.517825424329137,11.429334954146741
ENSG00000129226,396.2167335692896,3.75962647603053,0.5104598496580012,1.3859595055167661e-14,1.592987206653333e-11,CD68,CD68,Up,TRUE,TRUE,13.858249458604105,10.797787712021952
ENSG00000185133,123.87798920501248,-3.526707414840261,0.4842933396525715,2.893012420546236e-14,3.129558730226193e-11,INPP5J,INPP5J,Down,TRUE,TRUE,13.538649701795116,10.504516893935312
ENSG00000130203,2697.391360430447,5.639685746977245,0.7918283776794729,6.019894175578052e-14,5.82662388888844e-11,APOE,APOE,Up,TRUE,TRUE,13.22041114318843,10.234583014903183
ENSG00000180251,87.01935372219883,-4.210910587374839,0.5885373537078404,5.915294653150998e-14,5.82662388888844e-11,SLC9A4,SLC9A4,Down,TRUE,TRUE,13.228023617384256,10.234583014903183
ENSG00000143502,150.94695489563054,-3.4365079984696068,0.48529169716294457,1.2054404773509643e-13,1.1084025189242117e-10,SUSD4,SUSD4,Down,TRUE,TRUE,12.918854229497425,9.955302495923329
ENSG00000138792,1542.7198848142427,3.916513611369235,0.5570025120906613,1.4406884701546192e-13,1.2616314745782593e-10,ENPEP,ENPEP,Up,TRUE,TRUE,12.841429919477264,9.899067484973106
ENSG00000167711,860.6751548725762,4.655162911181585,0.6650594331791269,1.6385680419990752e-13,1.3363978040894209e-10,SERPINF2,SERPINF2,Up,TRUE,TRUE,12.785535519706576,9.87406424664707
ENSG00000187720,497.19615899373923,-2.4729975199919823,0.3489499722890836,1.6714056277355452e-13,1.3363978040894209e-10,THSD4,THSD4,Down,TRUE,TRUE,12.776918139867554,9.87406424664707
ENSG00000184060,208.04905802308323,2.6062668676506386,0.37085560411413926,2.3906353093638173e-13,1.831824305800025e-10,ADAP2,ADAP2,Up,TRUE,TRUE,12.621486670312887,9.737116182786416
ENSG00000112715,8952.249315230341,3.5483669782211518,0.5119847257424868,3.7829762049249413e-13,2.782757296342787e-10,VEGFA,VEGFA,Up,TRUE,TRUE,12.42216639042872,9.55552466986268
ENSG00000186918,1572.4488641107644,3.017547130796318,0.43683361072140214,4.83548950791206e-13,3.420178925019338e-10,ZNF395,ZNF395,Up,TRUE,TRUE,12.315559554709383,9.465951173442123
ENSG00000102678,101.86394096007989,-4.421945499143847,0.649598818169733,7.268758574760817e-13,4.950832229253756e-10,FGF9,FGF9,Down,TRUE,TRUE,12.138539755601546,9.305321790522456
ENSG00000036828,262.92946564876746,-4.736590193367807,0.7022329104611107,9.70189265245287e-13,6.287986200204305e-10,CASR,CASR,Down,TRUE,TRUE,12.013143534977456,9.201488420082786
ENSG00000145692,661.0054199096625,3.8255294617304085,0.565497366937376,9.915802055787104e-13,6.287986200204305e-10,BHMT,BHMT,Up,TRUE,TRUE,12.003672151421908,9.201488420082786
ENSG00000144476,416.4170108876988,2.998939281251984,0.4411840686686833,1.0298296478728074e-12,6.31285574146031e-10,ACKR3,ACKR3,Up,TRUE,TRUE,11.987234609379811,9.199774134861396
ENSG00000100504,259.46655725332,3.1514141685146453,0.4672942557875372,1.4105491766782067e-12,8.367741728745878e-10,PYGL,PYGL,Up,TRUE,TRUE,11.850611768219933,9.077391732816128
ENSG00000104237,164.42478729904968,-2.824878811439364,0.4184564039996843,1.4895509672137945e-12,8.560263214706775e-10,RP1,RP1,Down,TRUE,TRUE,11.826944632159567,9.067512881241395
ENSG00000151704,606.412929224855,-5.601815980576849,0.8467685546162577,1.8828819948603978e-12,1.049278784408567e-9,KCNJ1,KCNJ1,Down,TRUE,TRUE,11.725176897501596,8.979109108141406
ENSG00000184908,334.8690472178001,-8.600540330649416,1.3060155209262136,2.0414481308261223e-12,1.1041832684085997e-9,CLCNKB,CLCNKB,Down,TRUE,TRUE,11.690061650167715,8.956958837971893
ENSG00000099194,1511.2571223589653,4.011820374338385,0.606808489761584,2.695577855929033e-12,1.4163336220152833e-9,SCD,SCD,Up,TRUE,TRUE,11.569348119998558,8.848834435110756
ENSG00000169347,142.18763375926483,-4.743420102870187,0.7205673879688117,3.0825480363613282e-12,1.5611720566379835e-9,GP2,GP2,Down,TRUE,TRUE,11.511090146925547,8.806549230742402
ENSG00000088899,233.09603660371212,-2.755653430352119,0.41467210046785585,3.1410204510932785e-12,1.5611720566379835e-9,LZTS3,LZTS3,Down,TRUE,TRUE,11.502929235913484,8.806549230742402
ENSG00000162399,91.0327975290222,-4.458752102541509,0.678668201991779,3.9275890686011785e-12,1.9007463939888336e-9,BSND,BSND,Down,TRUE,TRUE,11.40587395738579,8.721075824764522
ENSG00000106366,1106.352324160955,4.4152747131268155,0.6842718449191034,7.160786289307192e-12,3.2921714965089817e-9,SERPINE1,SERPINE1,Up,TRUE,TRUE,11.145039287418616,8.4825175495085
ENSG00000131080,67.33647557870506,8.657152129362451,1.5319801227194094,7.547542701436405e-12,3.385349031205256e-9,EDA2R,EDA2R,Up,TRUE,TRUE,11.122194421207052,8.47039654868871
ENSG00000104635,2935.145955979738,4.488409052572124,0.6983251132936996,8.292955600814923e-12,3.6311298452139623e-9,SLC39A14,SLC39A14,Up,TRUE,TRUE,11.081290659756073,8.439958220915896
ENSG00000135245,1032.8986713404415,4.807941680662147,0.7546320322584325,1.118257598405525e-11,4.782501682483164e-9,HILPDA,HILPDA,Up,TRUE,TRUE,10.951458142174417,8.320344868515924
ENSG00000148926,1025.354012484724,3.605745018311003,0.5633507868475361,1.2004458883307173e-11,4.905822196978198e-9,ADM,ADM,Up,TRUE,TRUE,10.920657411557828,8.309288196095094
ENSG00000117394,1288.5499573980146,2.934798488960741,0.4558517905670204,1.1870972276036784e-11,4.905822196978198e-9,SLC2A1,SLC2A1,Up,TRUE,TRUE,10.925513709282551,8.309288196095094
ENSG00000155380,445.97273742913313,2.8769903903204987,0.4479037858589467,1.313440465054486e-11,5.222355159751015e-9,SLC16A1,SLC16A1,Up,TRUE,TRUE,10.881589607905925,8.282133596190771
ENSG00000178573,938.3822206883656,2.866743174655014,0.44600154442026974,1.3346965334872089e-11,5.222355159751015e-9,MAF,MAF,Up,TRUE,TRUE,10.874617467493133,8.282133596190771
ENSG00000123572,163.38841751905477,-5.033469374085549,0.796292427591471,1.5721215125504213e-11,5.9823263141697114e-9,NRK,NRK,Down,TRUE,TRUE,10.803513889473049,8.223129901472179
ENSG00000140939,313.1929154403829,3.2044630576407216,0.502712169944897,1.5939858042105268e-11,5.9823263141697114e-9,NOL3,NOL3,Up,TRUE,TRUE,10.797515550681743,8.223129901472179
ENSG00000188488,139.15933743957513,-3.9489031638871124,0.6277908662976834,2.2311070955628484e-11,8.206011897480156e-9,SERPINA5,SERPINA5,Down,TRUE,TRUE,10.651479582609182,8.085867857707123
ENSG00000147872,1468.7652447712655,4.334361778040978,0.692563454914198,2.4949883568467364e-11,8.99663448674735e-9,PLIN2,PLIN2,Up,TRUE,TRUE,10.602931476721558,8.045919923581417
ENSG00000113889,1135.9388772897476,-8.907814700067131,1.4466121142648827,2.998701039541896e-11,1.0605021560995282e-8,KNG1,KNG1,Down,TRUE,TRUE,10.523066829788721,7.974488444185443
ENSG00000185818,285.5569754804722,-3.7615176650527595,0.6046195584020954,3.656271663768789e-11,1.2686572810699628e-8,NAT8L,NAT8L,Down,TRUE,TRUE,10.436961543328652,7.896655683691363
ENSG00000180745,76.69356628360835,6.7950033458977375,1.0796857968178888,3.905245583521707e-11,1.3299530792771147e-8,CLRN3,CLRN3,Up,TRUE,TRUE,10.40835165007997,7.8761636806648605
ENSG00000224389,429.82729276514186,4.5710647406535845,0.7399329736503797,4.109588408670311e-11,1.374096924280855e-8,C4B,C4B,Up,TRUE,TRUE,10.386201672234474,7.8619826324906406
ENSG00000197565,103.2829633602445,-4.064075693723103,0.665936924297152,6.998939724190861e-11,2.2984018129976777e-8,COL4A6,COL4A6,Down,TRUE,TRUE,10.1549677466729,7.6385740444410235
ENSG00000120708,9838.37505713294,4.505840906727341,0.7412361949739029,7.580006370130677e-11,2.4455494236263712e-8,TGFBI,TGFBI,Up,TRUE,TRUE,10.120330429392823,7.6116235558272365
ENSG00000197301,99.74358729212959,-3.0724488637239156,0.504686340804835,1.0692617292120299e-10,3.3902971034843504e-8,HMGA2-AS1,HMGA2-AS1,Down,TRUE,TRUE,9.970915977073842,7.469762241398702
ENSG00000110799,5329.702448546708,4.141434934248435,0.6869881781249066,1.1141323458190935e-10,3.472693871120869e-8,VWF,VWF,Up,TRUE,TRUE,9.953063217021356,7.459333499425423
ENSG00000101255,204.43332318325562,3.7491765335847194,0.6225052336464884,1.2696981162372195e-10,3.891624726267078e-8,TRIB3,TRIB3,Up,TRUE,TRUE,9.896299524742522,7.409869045888089
ENSG00000167580,4168.910571870082,-7.843798904582732,1.3324735876632696,1.3817679812012044e-10,4.098502124885508e-8,AQP2,AQP2,Down,TRUE,TRUE,9.859564875155343,7.387374835415518
ENSG00000159189,644.2406959168042,2.926850329316845,0.48366462932594817,1.380284563916263e-10,4.098502124885508e-8,C1QC,C1QC,Up,TRUE,TRUE,9.860031368817305,7.387374835415518
ENSG00000145632,658.4235018200251,2.3787924462229157,0.3928121023248433,1.803752204880265e-10,5.265238579007631e-8,PLK2,PLK2,Up,TRUE,TRUE,9.743823125022914,7.278581945238418
ENSG00000121966,506.5041583255625,2.9581820038180715,0.4961019304408022,2.4008830704059397e-10,6.898787447619568e-8,CXCR4,CXCR4,Up,TRUE,TRUE,9.61962899076099,7.1612272355068
ENSG00000119715,100.23862716895154,-4.328085174190999,0.7376927223296849,2.8695927557567897e-10,7.995728905813237e-8,ESRRB,ESRRB,Down,TRUE,TRUE,9.542179732700511,7.0971419390043025
ENSG00000141756,603.2468927413092,3.334363563104784,0.5639954900696829,2.827707323512125e-10,7.995728905813237e-8,FKBP10,FKBP10,Up,TRUE,TRUE,9.548565543376364,7.0971419390043025
ENSG00000107165,56.56896250225822,-3.9046203013238103,0.6632359190061358,2.9798719424762757e-10,8.179081346587867e-8,TYRP1,TYRP1,Down,TRUE,TRUE,9.52580239896767,7.08729547243042
