gene_id,NC1_count,NC2_count,NC3_count,NC4_count,PD1_count,PD2_count,PD3_count,PD4_count
ENSG00000007174,63,213,351,98,23,39,64,24
ENSG00000007202,1477,263,267,1233,887,1071,1049,1313
ENSG00000007216,5,118,158,40,4,1,23,5
ENSG00000007237,112,437,741,240,151,118,400,120
ENSG00000007255,78,0,20,31,30,36,6,13
ENSG00000007264,5,34,30,0,28,20,15,21
ENSG00000007306,7,101,133,6,1,5,15,5
ENSG00000007312,14,62,119,14,67,19,74,5
ENSG00000007314,34,325,464,47,17,58,56,21
ENSG00000007341,154,72,118,144,93,137,135,164
ENSG00000007350,1,34,44,7,1,3,9,1
ENSG00000007372,61,671,1412,95,56,45,141,134
ENSG00000007376,45,174,336,76,100,83,147,115
ENSG00000007384,158,190,360,113,58,94,152,54
ENSG00000007392,506,235,202,573,195,391,402,540
ENSG00000007402,32,73,74,31,1,18,4,1
ENSG00000007516,98,45,133,146,46,40,63,16
ENSG00000007520,115,0,5,137,175,206,151,192
ENSG00000007541,720,162,356,736,137,132,206,390
ENSG00000007545,312,269,268,435,144,190,288,348
ENSG00000007866,64,45,119,159,14,29,74,25
ENSG00000007908,43,50,104,17,64,163,13,18
ENSG00000007923,650,134,232,754,130,150,203,352
ENSG00000007933,11,67,69,20,103,46,88,16
ENSG00000007944,416,118,94,286,270,542,226,175
ENSG00000007952,0,0,0,0,2,2,0,0
ENSG00000007968,26,241,188,21,13,15,47,33
ENSG00000008018,385,34,47,257,359,470,218,144
ENSG00000008056,4,50,128,8,3,8,22,4
ENSG00000008083,244,185,311,226,151,213,185,146
ENSG00000008086,207,17,74,89,147,131,68,200
ENSG00000008118,89,162,89,26,3,2,33,3
ENSG00000008128,60,56,188,65,54,33,80,59
ENSG00000008130,199,174,207,204,207,187,379,232
ENSG00000008196,282,364,326,182,11,21,38,4
ENSG00000008197,0,0,35,4,4,0,3,0
ENSG00000008226,19,174,188,54,19,14,29,5
ENSG00000008256,308,207,341,331,108,265,190,101
ENSG00000008277,673,471,272,618,338,192,157,651
ENSG00000008282,526,67,15,543,459,450,227,317
ENSG00000008283,294,140,158,317,160,191,269,249
ENSG00000008294,1379,101,198,1330,1033,1638,1085,1729
ENSG00000008300,52,594,1155,69,46,26,160,182
ENSG00000008311,214,45,30,271,140,206,116,180
ENSG00000008323,31,28,128,35,6,7,36,64
ENSG00000008324,12,6,20,12,31,17,13,13
ENSG00000008382,20,22,20,42,50,57,28,99
ENSG00000008394,5,67,84,30,184,89,126,244
ENSG00000008405,142,106,311,164,105,290,128,88
ENSG00000008438,1,6,35,6,0,2,8,0
ENSG00000008441,95,280,272,319,170,236,183,834
ENSG00000008513,324,454,765,260,637,653,719,275
ENSG00000008516,16,146,94,14,9,14,32,16
ENSG00000008517,107,45,94,50,418,182,929,426
ENSG00000008710,443,555,899,1536,452,784,811,1348
ENSG00000008735,19,118,104,34,10,8,121,26
ENSG00000008838,232,62,163,269,166,228,253,334
ENSG00000008853,94,146,336,121,84,95,143,88
ENSG00000008869,494,56,15,390,538,549,453,606
ENSG00000008952,1242,90,153,835,955,819,609,375
ENSG00000008988,1366,90,20,1117,3393,3043,1664,1030
ENSG00000009307,2754,55,35,2640,2884,2959,1795,1178
ENSG00000009335,638,151,217,659,573,583,500,541
ENSG00000009413,1054,190,128,645,461,668,423,865
ENSG00000009694,136,241,321,77,587,446,123,1552
ENSG00000009709,8,269,444,31,11,21,42,2
ENSG00000009724,16,123,89,13,5,8,20,11
ENSG00000009765,45,499,632,51,20,63,79,15
ENSG00000009780,140,6,35,113,49,84,80,67
ENSG00000009790,40,353,370,36,110,51,138,101
ENSG00000009830,199,319,459,229,86,144,281,213
ENSG00000009844,149,202,123,147,143,146,120,71
ENSG00000009950,46,146,49,48,14,44,18,67
ENSG00000009954,913,65,10,831,619,713,752,799
ENSG00000010017,359,39,35,211,139,234,149,113
ENSG00000010030,17,56,89,12,31,23,54,54
ENSG00000010072,71,196,143,72,67,61,78,61
ENSG00000010165,188,181,173,172,120,131,205,263
ENSG00000010219,63,123,128,56,65,61,114,85
ENSG00000010244,1327,117,174,1492,970,1467,1162,1487
ENSG00000010256,774,73,178,860,316,364,393,290
ENSG00000010270,146,280,128,144,279,321,246,153
ENSG00000010278,1446,62,54,811,284,660,216,470
ENSG00000010282,3,78,99,2,1,7,14,0
ENSG00000010292,216,67,94,207,188,144,282,301
ENSG00000010295,83,258,311,110,158,117,282,221
ENSG00000010310,60,78,79,7,13,16,64,7
ENSG00000010318,37,112,222,51,15,18,40,26
ENSG00000010319,550,207,449,483,83,240,46,13
ENSG00000010322,817,352,311,982,329,389,354,851
ENSG00000010327,794,185,346,896,2445,4065,4821,1718
ENSG00000010361,115,50,25,147,72,55,37,132
ENSG00000010379,65,246,232,153,626,1971,512,6778
ENSG00000010404,749,101,227,573,971,939,973,1135
ENSG00000010438,3,34,44,10,6,5,8,0
ENSG00000010539,91,101,138,76,76,88,93,75
ENSG00000010610,92,280,148,104,401,387,753,234
ENSG00000010626,26,8,30,37,83,34,8,80
ENSG00000010671,15,28,20,21,124,31,149,55
ENSG00000010704,118,151,202,74,135,101,115,166
ENSG00000010803,240,62,99,222,189,258,248,664
ENSG00000010810,181,140,222,127,334,553,318,223
ENSG00000010818,798,695,800,500,483,706,539,344
ENSG00000010932,16,56,123,10,158,206,61,388
ENSG00000011007,401,168,212,274,222,291,285,246
ENSG00000011009,187,50,104,131,150,120,166,144
ENSG00000011021,15,78,148,240,106,161,174,237
ENSG00000011028,809,123,163,807,330,489,596,193
ENSG00000011052,0,0,0,2,17,0,51,10
ENSG00000011083,8,112,281,11,7,7,40,1
ENSG00000011105,681,269,538,561,1212,1026,993,1457
ENSG00000011114,649,325,222,497,294,503,338,585
ENSG00000011132,107,67,119,114,76,124,149,215
ENSG00000011143,68,67,104,119,46,52,78,109
ENSG00000011198,88,67,25,47,45,58,74,22
ENSG00000011201,63,73,281,28,100,143,126,43
ENSG00000011243,374,218,336,650,205,257,374,435
ENSG00000011258,323,0,104,208,188,234,154,346
ENSG00000011260,115,0,30,86,104,150,153,103
ENSG00000011275,464,151,212,421,398,427,429,521
ENSG00000011295,401,157,262,426,221,294,350,334
ENSG00000011304,739,207,296,829,765,812,982,1302
ENSG00000011332,9,28,74,5,1,7,15,0
ENSG00000011347,234,218,316,334,11,15,72,3
ENSG00000011376,211,140,222,255,101,90,174,121
ENSG00000011405,1352,34,74,1036,1027,1556,782,737
ENSG00000011422,26,67,133,57,79,169,340,25
ENSG00000011426,17,62,49,18,38,37,32,299
ENSG00000011451,150,308,380,288,96,147,217,445
ENSG00000011454,602,174,114,633,284,576,253,390
ENSG00000011465,3524,218,173,2786,360,295,223,26
ENSG00000011478,41,0,0,36,88,50,116,63
ENSG00000011485,266,246,247,337,167,231,299,297
ENSG00000011523,433,364,425,366,222,431,264,205
ENSG00000011566,702,140,59,422,268,310,195,215
ENSG00000011590,6,67,44,10,11,2,4,5
ENSG00000011600,23,0,0,32,219,141,402,104
ENSG00000011638,63,6,54,102,146,132,115,146
ENSG00000011677,3,118,365,25,4,12,20,3
ENSG00000012048,74,151,79,68,51,87,97,121
ENSG00000012061,188,140,138,224,260,214,202,396
ENSG00000012124,16,105,79,25,32,26,103,11
ENSG00000012174,221,123,224,170,227,162,137,235
ENSG00000012211,25,0,35,20,21,35,66,47
ENSG00000012223,29,50,30,24,8,38,13,35
ENSG00000012232,283,583,622,395,196,326,500,180
ENSG00000012504,54,45,35,87,693,242,200,813
ENSG00000012660,237,67,143,150,402,446,380,213
ENSG00000012779,55,112,198,38,248,156,389,142
ENSG00000012817,785,151,15,726,594,0,845,533
ENSG00000012822,536,263,494,951,563,623,637,1037
ENSG00000012963,259,67,153,165,230,185,199,171
ENSG00000012983,619,28,40,325,294,395,343,300
ENSG00000013016,113,297,385,107,101,187,140,142
ENSG00000013275,244,45,30,231,276,263,409,248
ENSG00000013288,391,174,257,322,311,251,562,329
ENSG00000013293,36,235,272,42,12,22,97,3
ENSG00000013297,105,90,163,39,30,26,46,5
ENSG00000013306,334,101,178,225,149,151,223,188
ENSG00000013364,563,28,119,455,800,981,1320,1787
