gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,gene_label,regulation,significant_fdr,significant_fdr_lfc,neg_log10_pvalue,neg_log10_padj
ENSG00000215218,70.77279200315827,-1.6975920250550371,0.8678957886740609,0.007152014162908143,0.04475180008706388,UBE2QL1,UBE2QL1,Down,TRUE,TRUE,2.1455716341916182,1.3491894910261533
ENSG00000136235,726.46077724456,1.8302792337004814,0.9698299614189809,0.007155262503649095,0.044756897089151995,GPNMB,GPNMB,Up,TRUE,TRUE,2.14537442873928,1.3491400299133598
ENSG00000146151,36.496532035695225,-2.0031428208416986,1.1541293402603339,0.007166258017290082,0.044795202222285724,HMGCLL1,HMGCLL1,Down,TRUE,TRUE,2.144707559347686,1.3487684985011197
ENSG00000182196,401.4308760621646,1.0015343096671767,0.4146062441701111,0.0071638527860167145,0.044795202222285724,ARL6IP4,ARL6IP4,Up,TRUE,TRUE,2.144853347289436,1.3487684985011197
ENSG00000253313,23.005988309157303,-1.7017072093649748,0.8629922338129595,0.007173304079660085,0.04481370418851189,C1orf210,C1orf210,Down,TRUE,TRUE,2.1442807588314596,1.3485891569094763
ENSG00000177971,179.62215508531511,1.3203641657223233,0.5937346746243158,0.007174091633005927,0.04481370418851189,IMP3,IMP3,Up,TRUE,TRUE,2.1442330804820924,1.3485891569094763
ENSG00000134443,8.61685339456911,-0.8865983537503883,1.7048284033042476,0.0071833769345202745,0.044856469210807416,GRP,GRP,Not significant,TRUE,FALSE,2.1436713441629456,1.3481749140479886
ENSG00000144820,9.979290780596948,-2.703282739010344,2.149371895541426,0.007187938832708528,0.04486972000458582,ADGRG7,ADGRG7,Down,TRUE,TRUE,2.1433956272684322,1.3480466405369669
ENSG00000231360,25.08754688799398,-2.0259888624909315,1.178060752660487,0.007198172838879837,0.04491835714523251,ENSG00000231360,ENSG00000231360,Down,TRUE,TRUE,2.1427777294988095,1.347576136110657
ENSG00000162763,22.03181388285183,-2.1054779835011455,1.2630188114017125,0.00721859068821218,0.04501521965283893,LRRC52,LRRC52,Down,TRUE,TRUE,2.1415475830502833,1.3466406263640036
